cosine_sim,a_creative_id,a_campaign_id,a_advertiser_name,a_app_name,a_vertical,a_format,b_creative_id,b_campaign_id,b_advertiser_name,b_app_name,b_vertical,b_format
1.0,500301,20050,VaultRun,VaultRun Cash,fintech,interstitial,500950,20158,VaultRun,VaultRun Pay,fintech,interstitial
1.0,500578,20096,GlitchWave,GlitchWave Legends,gaming,interstitial,500613,20102,IronQuest,IronQuest Arena,gaming,interstitial
1.0,500648,20108,PixelForge,PixelForge Battle,gaming,rewarded_video,500687,20114,NeonArena,NeonArena Quest,gaming,playable
1.0,500631,20105,NomadLayer,NomadLayer Flights,travel,interstitial,500631,20105,NomadLayer,NomadLayer Flights,travel,interstitial
1.0,500687,20114,NeonArena,NeonArena Quest,gaming,playable,500687,20114,NeonArena,NeonArena Quest,gaming,playable
1.0,500250,20041,MoonScreen,MoonScreen Stream,entertainment,interstitial,500715,20119,FluxStream,FluxStream Box,entertainment,interstitial
1.0,500756,20126,StormByte,StormByte Arena,gaming,rewarded_video,500756,20126,StormByte,StormByte Arena,gaming,rewarded_video
1.0,500631,20105,NomadLayer,NomadLayer Flights,travel,interstitial,500992,20165,RouteBloom,RouteBloom Getaway,travel,interstitial
1.0,500920,20153,DriftPass,DriftPass Trips,travel,interstitial,500920,20153,DriftPass,DriftPass Trips,travel,interstitial
1.0,500814,20135,WayPoint,WayPoint Trips,travel,interstitial,500957,20159,HorizonHop,HorizonHop Escapes,travel,interstitial
0.9999999403953552,500417,20069,NomadLayer,NomadLayer Trips,travel,rewarded_video,500417,20069,NomadLayer,NomadLayer Trips,travel,rewarded_video
0.9999999403953552,500131,20021,RouteBloom,RouteBloom Getaway,travel,interstitial,500666,20111,CloudRoute,CloudRoute Travel,travel,interstitial
0.9999999403953552,500075,20012,VoxelRealm,VoxelRealm Battle,gaming,interstitial,500974,20162,StormByte,StormByte Arena,gaming,interstitial
0.9999999403953552,500686,20114,NeonArena,NeonArena Quest,gaming,playable,500686,20114,NeonArena,NeonArena Quest,gaming,playable
0.9999999403953552,500666,20111,CloudRoute,CloudRoute Travel,travel,interstitial,500666,20111,CloudRoute,CloudRoute Travel,travel,interstitial
