column,missing_count,missing_pct
cnn_pca_62,0,0.0
cnn_pca_6,0,0.0
cnn_pca_63,0,0.0
cnn_pca_7,0,0.0
cnn_pca_9,0,0.0
cnn_pca_8,0,0.0
campaign_id,0,0.0
creative_id,0,0.0
ctr_decay_pct,0,0.0
cvr_decay_pct,0,0.0
first_7d_clicks,0,0.0
first_7d_conversions,0,0.0
first_7d_ctr,0,0.0
first_7d_cvr,0,0.0
first_7d_impressions,0,0.0
last_7d_clicks,0,0.0
last_7d_conversions,0,0.0
last_7d_ctr,0,0.0
last_7d_cvr,0,0.0
last_7d_impressions,0,0.0
overall_ctr,0,0.0
overall_cvr,0,0.0
overall_ipm,0,0.0
overall_roas,0,0.0
peak_day_impressions,0,0.0
peak_rolling_ctr_5,0,0.0
perf_score,0,0.0
total_clicks,0,0.0
total_conversions,0,0.0
total_days_active,0,0.0
total_impressions,0,0.0
total_revenue_usd,0,0.0
total_spend_usd,0,0.0
advertiser_name,0,0.0
app_name,0,0.0
asset_file,0,0.0
creative_launch_date,0,0.0
creative_status,0,0.0
cta_text,0,0.0
dominant_color,0,0.0
emotional_tone,0,0.0
format,0,0.0
headline,0,0.0
hook_type,0,0.0
language,0,0.0
subhead,0,0.0
theme,0,0.0
vertical,0,0.0
centroid_x_visual_mass,0,0.0
centroid_y_visual_mass,0,0.0
sharpness_laplacian_var,0,0.0
background_uniformity_score,0,0.0
brightness_mean,0,0.0
brightness_std,0,0.0
colorfulness,0,0.0
contrast,0,0.0
dominant_color_b,0,0.0
dominant_color_g,0,0.0
dominant_color_h,0,0.0
dominant_color_r,0,0.0
dominant_color_s,0,0.0
dominant_color_v,0,0.0
edge_density,0,0.0
empty_space_ratio,0,0.0
hue_mean,0,0.0
hue_std,0,0.0
main_object_bbox_area_ratio,0,0.0
main_object_bbox_x_max,0,0.0
main_object_bbox_x_min,0,0.0
main_object_bbox_y_max,0,0.0
main_object_bbox_y_min,0,0.0
main_object_center_x,0,0.0
main_object_center_y,0,0.0
main_object_is_centered,0,0.0
quadrant_bottom_left_density,0,0.0
quadrant_bottom_right_density,0,0.0
quadrant_top_left_density,0,0.0
quadrant_top_right_density,0,0.0
saliency_center_bias,0,0.0
saturation_mean,0,0.0
saturation_std,0,0.0
symmetry_horizontal_score,0,0.0
symmetry_vertical_score,0,0.0
visual_complexity,0,0.0
visual_mass_border_ratio,0,0.0
visual_mass_bottom_ratio,0,0.0
visual_mass_center_ratio,0,0.0
visual_mass_left_ratio,0,0.0
visual_mass_right_ratio,0,0.0
visual_mass_top_ratio,0,0.0
