column,count,mean,std,min,25%,50%,75%,max
brightness_mean,1080.0,205.65429478398076,39.19305565452232,67.93868255615234,196.71073532104487,221.0987777709961,224.10481643676755,234.14620971679688
brightness_std,1080.0,33.39881342605308,11.237563492447395,17.025707244873047,24.262767314910892,27.89283847808838,43.52843379974365,60.70548248291016
contrast,1080.0,33.39881342605308,11.237563492447395,17.025707244873047,24.262767314910892,27.89283847808838,43.52843379974365,60.70548248291016
saturation_mean,1080.0,127.32965328685111,48.599572980933864,0.0,126.3643856048584,144.58993530273438,156.3435287475586,174.23805236816406
saturation_std,1080.0,41.76365772000066,12.41493864761685,0.0,40.32571315765381,45.290218353271484,49.05857849121094,58.49560928344727
hue_mean,1080.0,77.18539686336837,50.7759585988823,0.0,21.733132362365726,102.13277816772461,117.17946815490724,169.40621948242188
hue_std,1080.0,20.484505046297002,13.648202200063956,0.0,4.997344136238098,25.18753147125244,30.090804576873776,54.32241821289063
dominant_color_r,1080.0,161.5601851851852,69.69464770273738,28.0,89.0,143.0,232.0,254.0
dominant_color_g,1080.0,141.89907407407406,48.42272154753906,28.0,108.0,132.0,192.0,227.0
dominant_color_b,1080.0,126.23981481481482,73.1265162891072,4.0,66.0,85.0,212.0,227.0
dominant_color_h,1080.0,68.13973310346957,51.07218680039534,0.0,21.48474407196045,55.79547309875488,107.37863349914551,169.1394500732422
dominant_color_s,1080.0,150.11984500531798,43.996115330747,0.0,140.8424949645996,155.28240966796875,164.5086669921875,246.5659027099609
dominant_color_v,1080.0,207.93140879737007,48.118169195641926,33.65687942504883,209.66556930541992,222.04816436767578,232.49581146240234,254.0
colorfulness,1080.0,63.686838551130236,24.351072930654006,0.0,59.47605373010582,70.64344453040694,81.11666482182743,93.2935482627522
edge_density,1080.0,0.040146294487847185,0.009942742630835461,0.0221310763888888,0.03276367187499995,0.03728515624999995,0.04633300781249998,0.087802734375
visual_complexity,1080.0,2.580290326807234,0.17303073513507075,2.100940227508545,2.4681621193885803,2.5914515256881714,2.689888656139374,3.194234848022461
sharpness_laplacian_var,1080.0,1194.0377287888846,492.7525203378051,432.4294704861111,841.328083535258,1086.925375108422,1393.5770698843955,3090.61728515625
centroid_x_visual_mass,1080.0,0.4969010225858289,0.014165200551580723,0.3750777980792568,0.49794964705444034,0.49962744528381586,0.5013603252019504,0.5490554673003072
centroid_y_visual_mass,1080.0,0.49870045377521877,0.01696254824398605,0.3921466937451687,0.49322008160545794,0.4963521044565413,0.5062504422518072,0.6184907610230622
visual_mass_top_ratio,1080.0,0.4912167988993503,0.02813980152826296,0.2634671330451965,0.4809546247124672,0.4967295825481415,0.5034238696098328,0.6331963539123535
visual_mass_bottom_ratio,1080.0,0.5087832021492499,0.028139801285550586,0.3668035864830017,0.49657612293958664,0.5032704174518585,0.5190453678369522,0.7365328669548035
visual_mass_left_ratio,1080.0,0.5046699890935863,0.026690397663900182,0.4456707835197449,0.4956889078021049,0.4982938766479492,0.5014014095067978,0.7301455736160278
visual_mass_right_ratio,1080.0,0.49533002646984875,0.026690396202163413,0.2698543071746826,0.4985985830426216,0.5017061829566956,0.5043111592531204,0.5543291568756104
visual_mass_center_ratio,1080.0,0.2432149216670681,0.02903846759706475,0.1747545003890991,0.2290829755365848,0.23549655079841608,0.24627285450696945,0.4592902064323425
visual_mass_border_ratio,1080.0,0.7567850763047183,0.029038469422067364,0.5407097935676575,0.7537271976470947,0.7645034193992615,0.7709169834852219,0.8252455592155457
quadrant_top_left_density,1080.0,0.24810490132206017,0.015867600627336907,0.1957586705684662,0.2397770658135414,0.24615457653999326,0.2514825910329819,0.3612723648548126
quadrant_top_right_density,1080.0,0.2431119024374143,0.03230692278227776,0.0385518446564674,0.23991854116320602,0.25078441202640533,0.25461681187152857,0.3396930694580078
quadrant_bottom_left_density,1080.0,0.2565650885579763,0.018452069228241833,0.2065241038799286,0.248974647372961,0.2520024329423904,0.26089390367269516,0.4412413537502289
quadrant_bottom_right_density,1080.0,0.25221812494651036,0.01440513090112461,0.1577745229005813,0.24726543948054308,0.2514242976903915,0.25837272405624384,0.3443994224071502
symmetry_horizontal_score,1080.0,0.8981840011232567,0.02047816866678709,0.8566916435956955,0.8866284023970366,0.8938722722232342,0.9022740330547095,0.9728593733161688
symmetry_vertical_score,1080.0,0.9199902486452763,0.015612851901803493,0.87910957634449,0.9113357644528151,0.9182872548699379,0.9253544621169566,0.9737656228244304
main_object_bbox_x_min,1080.0,0.21210680298353907,0.12960440085875247,0.0,0.146875,0.1666666666666666,0.2722222222222222,0.409375
main_object_bbox_y_min,1080.0,0.3548201195987654,0.2783676339654822,0.046875,0.2375,0.2375,0.346875,0.8578125
main_object_bbox_x_max,1080.0,0.738369341563786,0.11661867410670508,0.321875,0.7277777777777777,0.76875,0.7805555555555556,1.0
main_object_bbox_y_max,1080.0,0.5394767554012345,0.2596251233937256,0.13125,0.490625,0.5203125,0.6203125,0.940625
main_object_bbox_area_ratio,1080.0,0.10681811322498712,0.10174165106765812,0.0269140625,0.03828125,0.0583984375,0.1736154513888889,0.675
main_object_center_x,1080.0,0.47523807227366255,0.08530555378593463,0.2390625,0.4734375,0.475,0.5,0.6916666666666667
main_object_center_y,1080.0,0.4471484375,0.2636676919896591,0.0895833333333333,0.37890625,0.3796875,0.4336588541666666,0.89921875
main_object_is_centered,1080.0,0.5768518518518518,0.49428738108831755,0.0,0.0,1.0,1.0,1.0
saliency_center_bias,1080.0,-0.5135701555896688,0.058076937442629914,-0.6504910588264465,-0.5418340116739273,-0.5290068686008453,-0.5074543505907059,-0.0814195871353149
background_uniformity_score,1080.0,0.4423781911532084,0.15826289751428177,0.148744523525238,0.3201359212398529,0.46308159828186035,0.5797774195671082,0.73580402135849
empty_space_ratio,1080.0,0.14566509130658434,0.23860798007421674,0.0417491319444444,0.05030029296875,0.0565473090277777,0.07062255859374995,0.9771310763888889
clip_pca_0,1080.0,3.65009259232383e-09,0.20250453919550337,-0.5134136,-0.101023674,0.0467374105,0.1388148925,0.41943473
clip_pca_1,1080.0,-7.836175926252739e-09,0.1759880889040781,-0.3949745,-0.1297842925,0.016321706499999998,0.12312511450000001,0.44674435
clip_pca_2,1080.0,3.484972222528921e-09,0.1537128672319776,-0.41800278,-0.10532353750000001,-0.0243030165,0.06321114324999999,0.41621402
clip_pca_3,1080.0,2.6443240747281643e-09,0.1437533130398321,-0.29075497,-0.10127486299999999,-0.017272913,0.07314709,0.41116884
clip_pca_4,1080.0,-2.1843148146205995e-09,0.13266336409762972,-0.31581706,-0.07524043999999999,0.008524429,0.0856464575,0.42392936
clip_pca_5,1080.0,-3.1515740741910676e-09,0.1274314190879954,-0.36388794,-0.07297467875,-0.00044355235,0.0779934925,0.35188854
clip_pca_6,1080.0,5.52870370266971e-10,0.11795081308783519,-0.3733572,-0.06611969,-0.0058468910999999995,0.0789960625,0.31064793
clip_pca_7,1080.0,3.4549296292187262e-09,0.10737885406506646,-0.2815426,-0.06996239625,-0.0090292995,0.0574790055,0.3822027
clip_pca_8,1080.0,3.698796291884821e-10,0.10658919907104741,-0.3202713,-0.072497235,-0.008251255499999999,0.0695669075,0.29050267
clip_pca_9,1080.0,-4.341111116669662e-10,0.10262782532457124,-0.4022052,-0.059299991999999996,0.0057907355,0.0653658225,0.29610443
clip_pca_10,1080.0,-8.091685184448468e-09,0.09679618705821053,-0.29127872,-0.0579375,0.00042812202,0.06289502999999999,0.31343114
clip_pca_11,1080.0,4.804018517969279e-09,0.0942493806235408,-0.33544552,-0.05677263875,0.0006029243,0.06035102775,0.27171963
clip_pca_12,1080.0,-1.5711018520109872e-09,0.08871916233854439,-0.2580402,-0.058012547250000004,-0.0040875528500000004,0.05316952,0.27982542
clip_pca_13,1080.0,-2.2646331484973868e-09,0.08706372585433186,-0.23763326,-0.06078808675,-0.0034733179,0.069055437,0.26711452
clip_pca_14,1080.0,-1.1144027772596947e-09,0.08471117162776767,-0.32203802,-0.037394620249999996,0.00685731295,0.0483955775,0.20424752
clip_pca_15,1080.0,-2.2418981481952682e-09,0.0810478960363041,-0.25971487,-0.05171542525,0.004504923,0.0515449305,0.20892744
clip_pca_16,1080.0,-1.95716666659304e-09,0.07971770983391224,-0.27267864,-0.047223666,0.0031370747,0.052896547,0.2017795
clip_pca_17,1080.0,5.721760189104764e-10,0.07624704061636446,-0.21761526,-0.050167288500000004,0.007923824,0.048685733,0.1797068
clip_pca_18,1080.0,2.6189722224234656e-09,0.07507675831296558,-0.2758572,-0.04828972225,0.0049673370000000005,0.052293873000000005,0.20461519
clip_pca_19,1080.0,5.374166663126063e-10,0.07354435021439203,-0.27316,-0.041573671,0.0035011709000000004,0.047388336749999996,0.19294989
clip_pca_20,1080.0,-2.2471546292481662e-09,0.07192850656484148,-0.2234055,-0.0445462605,0.00280489135,0.05014896375,0.20306157
clip_pca_21,1080.0,-3.48016203756253e-09,0.0702489806708499,-0.19808437,-0.04691197925,-0.0009458277749999999,0.051368621499999996,0.18938687
clip_pca_22,1080.0,3.35064814803186e-09,0.0693368122759168,-0.17404906,-0.0490028225,-0.0007999303749999999,0.045898462,0.20795403
clip_pca_23,1080.0,-9.964620373692913e-10,0.06712643626011354,-0.19970013,-0.052887349,0.0031654163,0.051731696,0.17184445
clip_pca_24,1080.0,-5.11354629319073e-10,0.0659636541844234,-0.21696553,-0.039343220500000005,0.00137680115,0.041815655,0.21555436
clip_pca_25,1080.0,-2.9948361112018692e-09,0.06394274248277854,-0.19215961,-0.041941816,0.00043053172,0.04063334875,0.25155756
clip_pca_26,1080.0,3.1249907403543935e-09,0.0636763849502715,-0.19812052,-0.04376196,0.00058985324,0.0423931,0.1852212
clip_pca_27,1080.0,-1.436657407133596e-09,0.06214345014527252,-0.23063079,-0.04449279925,0.00155957755,0.04193250625,0.1888458
clip_pca_28,1080.0,-2.55413518514115e-09,0.06005994573560499,-0.17303263,-0.0403308225,0.0032218207,0.04256668275,0.18499061
clip_pca_29,1080.0,4.0200925880377007e-10,0.058367001661752786,-0.19473207,-0.036837962249999995,0.0012272296,0.03783911075,0.21480423
clip_pca_30,1080.0,-5.168351852150135e-09,0.05724012142577349,-0.20160633,-0.0389922165,-6.8750535e-05,0.03600656575,0.17562191
clip_pca_31,1080.0,-4.764999999511904e-11,0.05656912133401666,-0.17424773,-0.03728560975,-0.0007012951249999999,0.03786409525,0.16750135
clip_pca_32,1080.0,-2.2809407401941577e-09,0.05538046263977809,-0.2168128,-0.027761903,0.005118587250000001,0.0333235875,0.14555155
clip_pca_33,1080.0,6.229388888982317e-10,0.054770565829280776,-0.1446066,-0.0384041395,-0.0049825213,0.0307078395,0.19874905
clip_pca_34,1080.0,5.125185181603448e-10,0.05297228551696787,-0.17338702,-0.0335120475,0.000747783085,0.035363163,0.18846665
clip_pca_35,1080.0,-7.679314813676304e-10,0.05220052547578779,-0.1611637,-0.03470118725,0.00144529345,0.034213997249999996,0.15514761
clip_pca_36,1080.0,-1.9538148142068586e-09,0.05130701669469391,-0.23132253,-0.027019798999999997,-0.00026866795999999995,0.029327251749999998,0.19858499
clip_pca_37,1080.0,-7.004833333749497e-10,0.05080901917402085,-0.14604817,-0.03422673925,-0.0061359007,0.030988025750000002,0.18735711
clip_pca_38,1080.0,2.2538629631879486e-09,0.04844626619250358,-0.23625585,-0.027641595749999998,-0.0009936238,0.03196249825,0.15212092
clip_pca_39,1080.0,-1.8949592615222941e-10,0.048155894174158075,-0.12739858,-0.0298621165,-0.00103441687,0.03164565025,0.16670749
clip_pca_40,1080.0,5.846712962541565e-10,0.0468565045863581,-0.18237294,-0.029230057,-0.00179504475,0.0284305465,0.19581719
clip_pca_41,1080.0,-9.939537039106562e-10,0.046361121369662625,-0.14731778,-0.0290815925,-0.0026594581,0.02475860925,0.21378663
clip_pca_42,1080.0,-2.048303703861821e-09,0.044634952365452535,-0.15903662,-0.0270631965,0.00161943945,0.02734608225,0.19698417
clip_pca_43,1080.0,1.1913814811236199e-09,0.04421805637801662,-0.21084851,-0.0275768275,0.00032327823000000003,0.025359044,0.13737786
clip_pca_44,1080.0,5.1076300003235935e-09,0.04391787580391566,-0.17160457,-0.02438240325,0.000259940125,0.02390539425,0.22310807
clip_pca_45,1080.0,2.2613333314933813e-10,0.04227119482270352,-0.15277156,-0.02782482775,0.00134673475,0.025186893000000002,0.16774273
clip_pca_46,1080.0,4.5659074077164515e-09,0.041547865136205925,-0.14263965,-0.02660592375,-0.00143216055,0.02393886725,0.14397468
clip_pca_47,1080.0,-4.122407404122191e-10,0.04128558737279891,-0.15061186,-0.027187114249999998,-0.0022531612,0.02666814,0.15849175
clip_pca_48,1080.0,-6.58518507213591e-12,0.04032084257337111,-0.14498112,-0.02197554425,0.00130973365,0.02412185225,0.17616042
clip_pca_49,1080.0,4.948916666644329e-10,0.03998635269168827,-0.1353146,-0.02571175225,0.00025997666,0.02458321925,0.15339217
clip_pca_50,1080.0,-1.5267592591418202e-09,0.03821703520583744,-0.1457011,-0.0231269435,0.0013342613500000001,0.02317583425,0.19170806
clip_pca_51,1080.0,1.3684000001025333e-09,0.03806313800452286,-0.13274229,-0.02059233875,0.0011630213,0.02053706725,0.16366163
clip_pca_52,1080.0,-3.3294212959656667e-09,0.03752806795534145,-0.13819078,-0.023046949,0.0017083531,0.02452095175,0.1515748
clip_pca_53,1080.0,-5.609509263214972e-10,0.03686410837406148,-0.14209124,-0.02002222975,0.000231488355,0.019362256249999998,0.13696778
clip_pca_54,1080.0,2.1030037039982265e-09,0.03614004719248611,-0.11560837,-0.0219296145,-0.0007321759200000001,0.01911116825,0.17194945
clip_pca_55,1080.0,2.8309263888842902e-09,0.03583554858332746,-0.1642451,-0.020721763749999997,-0.00034470459,0.02366406675,0.15888149
clip_pca_56,1080.0,-2.89951851880262e-10,0.035049623223998176,-0.15144598,-0.020633156,-0.000965700615,0.01910026075,0.18972236
clip_pca_57,1080.0,3.954092591931493e-10,0.03432160283367563,-0.1460986,-0.021574876,0.0017256626,0.0203403115,0.1319986
clip_pca_58,1080.0,-4.5289814815108185e-10,0.03401438897431328,-0.13685709,-0.02005812525,0.0013681823,0.01993068925,0.14459173
clip_pca_59,1080.0,1.8117402777606128e-09,0.033175867420551,-0.12652852,-0.02224278375,0.0024243535,0.019550939,0.11738582
clip_pca_60,1080.0,-2.0985703730325155e-10,0.032892763126933934,-0.15742457,-0.017603081,-0.00035307903,0.018624838499999997,0.14562307
clip_pca_61,1080.0,3.791247222180901e-09,0.031848655525522525,-0.10168449,-0.02047153975,-0.0025488591,0.0214319405,0.12561193
clip_pca_62,1080.0,2.198425925665688e-09,0.03153659039046542,-0.13185835,-0.0182670565,0.00047197578500000003,0.017871133,0.12902504
clip_pca_63,1080.0,4.474592592490706e-09,0.031298055239281426,-0.099039555,-0.0182402765,-0.0010541427,0.019391639250000002,0.1284392
cnn_pca_0,1080.0,-7.077685184926681e-08,3.1584569002234706,-6.921939,-2.360047825,-0.28414013,2.522839375,6.3656735
cnn_pca_1,1080.0,2.4065333334001416e-07,2.606894474757739,-5.8001785,-1.973828875,-0.642731665,2.141260825,5.4590387
cnn_pca_2,1080.0,1.4112314814353878e-07,2.512697507492115,-4.2323766,-2.016842675,-0.58124543,1.831882125,6.7653327
cnn_pca_3,1080.0,-9.74490740612021e-09,2.1680291927108337,-4.9193745,-1.664258175,-0.39165713,1.58381615,6.5757627
cnn_pca_4,1080.0,1.6543435184391131e-07,1.8179688207467593,-3.8896532,-1.2732358750000001,-0.3949813,1.04330955,5.8916335
cnn_pca_5,1080.0,-1.0825712962777608e-07,1.6749163634215192,-4.0537834,-1.208966175,-0.022264006,1.159084675,4.180997
cnn_pca_6,1080.0,4.9428703711121806e-08,1.612486098921686,-4.3357615,-0.986562275,0.06299764199999999,1.078456825,4.3931627
cnn_pca_7,1080.0,8.172962962865532e-08,1.3515971216057674,-3.0832937,-0.898345105,-0.13796327,0.75204262,3.9159942
cnn_pca_8,1080.0,1.3150212963326854e-07,1.17165748029904,-2.1500926,-0.924720985,-0.13140785,0.6668684925,4.148392
cnn_pca_9,1080.0,-1.0283027778086235e-07,0.9019704716723359,-3.1521056,-0.57913565,0.048104308,0.561473055,2.770081
cnn_pca_10,1080.0,4.5743888892417846e-08,0.8304713902549222,-1.7977493,-0.6401748,-0.0455095805,0.5824735999999999,2.594066
cnn_pca_11,1080.0,1.7326148148134313e-07,0.7958729441683386,-2.6212518,-0.579622895,0.08455631499999999,0.5614411575,2.315173
cnn_pca_12,1080.0,1.5470740713199563e-09,0.7211217102342523,-2.3108358,-0.4926094,0.00060227755,0.475165465,2.2918568
cnn_pca_13,1080.0,-4.471273147946367e-08,0.7102847291477044,-3.1333075,-0.3616093075,0.0807755125,0.4576613,1.9441984
cnn_pca_14,1080.0,4.484287037007404e-08,0.6440146200149419,-2.2563934,-0.42602708,0.024666746,0.4365219,1.6027395
cnn_pca_15,1080.0,1.168793583365639e-07,0.5846724962430112,-1.9549705,-0.3751012825,-0.0430484885,0.37434661750000003,2.4812858
cnn_pca_16,1080.0,-9.306462962570621e-08,0.5471726982925343,-1.535741,-0.3428547575,-0.0096244935,0.34160611500000004,2.2824292
cnn_pca_17,1080.0,-1.2140883334068433e-08,0.5198157929541504,-2.008145,-0.3076308225,0.01537871,0.339846365,1.3493426
cnn_pca_18,1080.0,-3.4068690740535e-08,0.5106376005891625,-1.6627525,-0.3403195825,0.011154712,0.33465223749999995,2.0757463
cnn_pca_19,1080.0,4.722527777887451e-08,0.4931314194547838,-1.7514014,-0.31312732249999997,0.0167107575,0.3191711225,1.6282619
cnn_pca_20,1080.0,-8.87749074071117e-08,0.4542539989872367,-1.7343259,-0.29002517499999997,0.016731352499999998,0.305159195,1.6015974
cnn_pca_21,1080.0,-1.9652407421575535e-09,0.4483167618265218,-1.5562125,-0.27319233499999995,0.021430985,0.2668783675,1.5260118
cnn_pca_22,1080.0,-2.6114442590267853e-08,0.4282973640995478,-1.245057,-0.26363733,-0.0128060725,0.2240279175,2.2719996
cnn_pca_23,1080.0,-5.343597222320198e-08,0.40918926312481657,-1.714422,-0.29615917,-0.011987098,0.273115905,1.489064
cnn_pca_24,1080.0,5.8728685185753476e-08,0.3940096643448148,-1.6413755,-0.2521019025,0.00048617034,0.24461739999999998,1.3420264
cnn_pca_25,1080.0,-5.953410185326962e-08,0.39154715103797944,-1.2822664,-0.2355556925,-0.011278171,0.227208775,1.3699589
cnn_pca_26,1080.0,-2.9458567593518177e-08,0.3802767764949742,-1.7697128,-0.25040223,0.0102462325,0.2730564425,0.99619716
cnn_pca_27,1080.0,-7.741575648517945e-08,0.3565303683704696,-1.2489107,-0.21751009500000001,0.0175064745,0.23072439,1.3126031
cnn_pca_28,1080.0,-1.030976851544728e-08,0.3415563335927739,-1.0814854,-0.22092942000000002,-0.0126579335,0.228717525,1.2813791
cnn_pca_29,1080.0,3.2336018513852066e-08,0.3397992832042781,-1.3575368,-0.2104896,-0.009946967000000001,0.2105277325,1.7461891
cnn_pca_30,1080.0,1.1140433148163445e-07,0.33001262199403286,-1.1295121,-0.20849888249999998,0.00579812585,0.2138316625,1.1811949
cnn_pca_31,1080.0,-9.74687963006815e-08,0.32500400201882346,-1.3969927,-0.22204657249999998,-0.0049161845,0.2067509775,1.1390465
cnn_pca_32,1080.0,9.18161203698496e-08,0.31718175179801605,-1.8525596,-0.1936286325,0.0051029613,0.1821002,1.2125866
cnn_pca_33,1080.0,-6.180786111315624e-08,0.3075771578227393,-0.9505291,-0.1936293675,0.0040123669,0.1815736,1.592227
cnn_pca_34,1080.0,9.721307314732904e-08,0.2920871315562269,-1.1609225,-0.1733479825,-0.021316612,0.17201427,1.0974859
cnn_pca_35,1080.0,7.863060185289807e-08,0.2793818475352877,-0.9499183,-0.1683320725,-0.007111019,0.17271637,1.5337138
cnn_pca_36,1080.0,-2.027921296237983e-08,0.2780851772713102,-0.9636103,-0.1872563125,-0.0040296492,0.19031016,0.92985445
cnn_pca_37,1080.0,-1.0889839814589821e-07,0.275107478210835,-1.3892858,-0.1664481525,-0.00060837367,0.162950135,1.3744743
cnn_pca_38,1080.0,-7.689587962921173e-08,0.26527950797409583,-1.0069572,-0.1649971725,0.0017389085,0.1669301,0.9575647
cnn_pca_39,1080.0,-1.064355555666394e-08,0.2586402467218441,-1.1800586,-0.159162685,0.00571803965,0.1675819775,0.75146776
cnn_pca_40,1080.0,-1.423404814821978e-07,0.2540907208113,-0.761873,-0.1698060375,-0.004771949249999999,0.17116579,0.88916767
cnn_pca_41,1080.0,9.636388889313865e-09,0.24486604430993394,-1.012273,-0.152256125,-0.00866384175,0.13878701000000002,0.84342283
cnn_pca_42,1080.0,-3.970476296221858e-08,0.2373764279970525,-0.9314439,-0.152617865,-0.0033786262,0.1629576575,0.9112389
cnn_pca_43,1080.0,3.8438547222963135e-08,0.2343403845041069,-1.1592989,-0.1419848125,0.006243387749999999,0.145369685,0.7765215
cnn_pca_44,1080.0,4.903854629528187e-08,0.22676731981082254,-0.9051545,-0.1401097625,0.0024941399999999997,0.140951425,0.67485535
cnn_pca_45,1080.0,-2.3106678702932436e-08,0.22086184296469816,-1.1704609,-0.143349695,0.00590003635,0.1315919025,0.98508185
cnn_pca_46,1080.0,-1.3979127500419043e-08,0.21973050085459436,-0.85310256,-0.138424415,0.00342121575,0.1454165275,0.6722655
cnn_pca_47,1080.0,3.576940740679791e-08,0.21574812108631136,-0.78209233,-0.14365919,0.0003017547,0.13601949000000002,0.8146083
cnn_pca_48,1080.0,3.636381481445475e-08,0.21322259700383978,-0.60503757,-0.143082295,-0.015283382500000001,0.1348846625,0.8447334
cnn_pca_49,1080.0,3.3461370368764525e-08,0.21035013793254098,-0.6879539,-0.1327734075,-0.0041441796,0.1341203225,0.7176332
cnn_pca_50,1080.0,-3.798278703699338e-08,0.20646468734367288,-0.7889588,-0.14152877,-0.013071565,0.1479208825,0.672449
cnn_pca_51,1080.0,-6.987515740628667e-08,0.205012059635726,-0.761956,-0.11641839325,0.00129275505,0.1250748425,0.73076135
cnn_pca_52,1080.0,4.114474999964794e-08,0.20040876749616074,-0.6962808,-0.132760755,-0.0040024381,0.1289989475,0.79812014
cnn_pca_53,1080.0,3.417293703731503e-08,0.19635230532078474,-0.71952933,-0.13018764249999998,0.00042327682,0.1265371225,0.58615315
