segment,feature,kpi,spearman_corr,abs_corr,n,is_strong,insight
vertical=travel,image_aspect_ratio,overall_ipm,-0.3853169803436032,0.3853169803436032,180,0,"In vertical=travel, higher image_aspect_ratio is associated with lower overall_ipm (spearman=-0.385, n=180)."
vertical=gaming,text_area_total_rel,overall_ipm,0.3846147514840993,0.3846147514840993,180,0,"In vertical=gaming, higher text_area_total_rel is associated with higher overall_ipm (spearman=0.385, n=180)."
vertical=gaming,image_aspect_ratio,overall_ctr,-0.379781521114027,0.379781521114027,180,0,"In vertical=gaming, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.380, n=180)."
all,subhead_y_relative,overall_roas,0.37802368501429323,0.37802368501429323,1080,0,"In all, higher subhead_y_relative is associated with higher overall_roas (spearman=0.378, n=1080)."
all,subhead_y_relative,overall_cvr,-0.3756825415989446,0.3756825415989446,1080,0,"In all, higher subhead_y_relative is associated with lower overall_cvr (spearman=-0.376, n=1080)."
vertical=fintech,headline_area_relative,overall_roas,0.3745002122575858,0.3745002122575858,180,0,"In vertical=fintech, higher headline_area_relative is associated with higher overall_roas (spearman=0.375, n=180)."
vertical=entertainment,image_aspect_ratio,overall_ctr,-0.36339865503488017,0.36339865503488017,180,0,"In vertical=entertainment, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.363, n=180)."
vertical=ecommerce,image_aspect_ratio,overall_ctr,-0.36214063025818727,0.36214063025818727,180,0,"In vertical=ecommerce, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.362, n=180)."
vertical=gaming,logo_in_top_left,overall_ipm,-0.35788736063868554,0.35788736063868554,180,0,"In vertical=gaming, higher logo_in_top_left is associated with lower overall_ipm (spearman=-0.358, n=180)."
vertical=ecommerce,middle_zone_element_count,ctr_decay_pct,-0.3574571772329504,0.3574571772329504,180,0,"In vertical=ecommerce, higher middle_zone_element_count is associated with lower ctr_decay_pct (spearman=-0.357, n=180)."
all,image_aspect_ratio,perf_score,-0.35249874763307143,0.35249874763307143,1080,0,"In all, higher image_aspect_ratio is associated with lower perf_score (spearman=-0.352, n=1080)."
vertical=entertainment,headline_area_relative,ctr_decay_pct,0.3521650017832254,0.3521650017832254,180,0,"In vertical=entertainment, higher headline_area_relative is associated with higher ctr_decay_pct (spearman=0.352, n=180)."
all,bottom_zone_element_count,overall_ipm,-0.3518732712333194,0.3518732712333194,1080,0,"In all, higher bottom_zone_element_count is associated with lower overall_ipm (spearman=-0.352, n=1080)."
vertical=travel,has_promo_text,overall_cvr,0.3515598910124554,0.3515598910124554,180,0,"In vertical=travel, higher has_promo_text is associated with higher overall_cvr (spearman=0.352, n=180)."
vertical=ecommerce,middle_zone_element_count,overall_ipm,0.3513717639331045,0.3513717639331045,180,0,"In vertical=ecommerce, higher middle_zone_element_count is associated with higher overall_ipm (spearman=0.351, n=180)."
vertical=travel,image_aspect_ratio,perf_score,-0.351000504007651,0.351000504007651,180,0,"In vertical=travel, higher image_aspect_ratio is associated with lower perf_score (spearman=-0.351, n=180)."
vertical=gaming,image_aspect_ratio,overall_cvr,-0.3492808404285504,0.3492808404285504,180,0,"In vertical=gaming, higher image_aspect_ratio is associated with lower overall_cvr (spearman=-0.349, n=180)."
vertical=fintech,text_area_total_rel,overall_ipm,0.34834117737238135,0.34834117737238135,180,0,"In vertical=fintech, higher text_area_total_rel is associated with higher overall_ipm (spearman=0.348, n=180)."
vertical=ecommerce,headline_area_relative,overall_ctr,-0.3480619886807048,0.3480619886807048,180,0,"In vertical=ecommerce, higher headline_area_relative is associated with lower overall_ctr (spearman=-0.348, n=180)."
vertical=ecommerce,middle_zone_element_count,perf_score,0.3462603730073641,0.3462603730073641,180,0,"In vertical=ecommerce, higher middle_zone_element_count is associated with higher perf_score (spearman=0.346, n=180)."
all,ocr_element_count,overall_ipm,-0.3452064368512449,0.3452064368512449,1080,0,"In all, higher ocr_element_count is associated with lower overall_ipm (spearman=-0.345, n=1080)."
vertical=entertainment,cta_area_relative,overall_ctr,-0.3445718010595553,0.3445718010595553,180,0,"In vertical=entertainment, higher cta_area_relative is associated with lower overall_ctr (spearman=-0.345, n=180)."
vertical=travel,headline_area_relative,overall_ipm,-0.3438591931531833,0.3438591931531833,180,0,"In vertical=travel, higher headline_area_relative is associated with lower overall_ipm (spearman=-0.344, n=180)."
vertical=fintech,cta_y_relative,overall_roas,0.3408565866900258,0.3408565866900258,180,0,"In vertical=fintech, higher cta_y_relative is associated with higher overall_roas (spearman=0.341, n=180)."
vertical=entertainment,headline_y_relative,ctr_decay_pct,0.3395713126739207,0.3395713126739207,180,0,"In vertical=entertainment, higher headline_y_relative is associated with higher ctr_decay_pct (spearman=0.340, n=180)."
vertical=fintech,text_area_total_rel,perf_score,0.33803103819107216,0.33803103819107216,180,0,"In vertical=fintech, higher text_area_total_rel is associated with higher perf_score (spearman=0.338, n=180)."
vertical=entertainment,image_aspect_ratio,overall_ipm,-0.3379064463254221,0.3379064463254221,180,0,"In vertical=entertainment, higher image_aspect_ratio is associated with lower overall_ipm (spearman=-0.338, n=180)."
all,has_price_text,overall_cvr,-0.33741263576436953,0.33741263576436953,1080,0,"In all, higher has_price_text is associated with lower overall_cvr (spearman=-0.337, n=1080)."
all,avg_text_area_rel,overall_cvr,0.337362925306775,0.337362925306775,1080,0,"In all, higher avg_text_area_rel is associated with higher overall_cvr (spearman=0.337, n=1080)."
vertical=ecommerce,text_area_total_rel,overall_roas,0.3335905429179913,0.3335905429179913,180,0,"In vertical=ecommerce, higher text_area_total_rel is associated with higher overall_roas (spearman=0.334, n=180)."
all,has_price_meta,overall_cvr,-0.3327248238890206,0.3327248238890206,1080,0,"In all, higher has_price_meta is associated with lower overall_cvr (spearman=-0.333, n=1080)."
vertical=fintech,text_area_total_rel,overall_roas,0.3299455384145721,0.3299455384145721,180,0,"In vertical=fintech, higher text_area_total_rel is associated with higher overall_roas (spearman=0.330, n=180)."
vertical=food_delivery,cta_y_relative,overall_cvr,0.3296204588454089,0.3296204588454089,180,0,"In vertical=food_delivery, higher cta_y_relative is associated with higher overall_cvr (spearman=0.330, n=180)."
vertical=travel,headline_area_relative,perf_score,-0.32956633705652416,0.32956633705652416,180,0,"In vertical=travel, higher headline_area_relative is associated with lower perf_score (spearman=-0.330, n=180)."
vertical=travel,cta_y_relative,overall_ctr,-0.3290177796062783,0.3290177796062783,180,0,"In vertical=travel, higher cta_y_relative is associated with lower overall_ctr (spearman=-0.329, n=180)."
vertical=entertainment,headline_y_relative,overall_ctr,-0.32787333787044237,0.32787333787044237,180,0,"In vertical=entertainment, higher headline_y_relative is associated with lower overall_ctr (spearman=-0.328, n=180)."
vertical=food_delivery,cta_area_relative,overall_roas,0.3249932227352122,0.3249932227352122,180,0,"In vertical=food_delivery, higher cta_area_relative is associated with higher overall_roas (spearman=0.325, n=180)."
all,cta_area_relative,overall_ctr,-0.3225366047365938,0.3225366047365938,1080,0,"In all, higher cta_area_relative is associated with lower overall_ctr (spearman=-0.323, n=1080)."
vertical=travel,cta_area_relative,overall_ctr,-0.3219904577430877,0.3219904577430877,180,0,"In vertical=travel, higher cta_area_relative is associated with lower overall_ctr (spearman=-0.322, n=180)."
all,cta_headline_distance,overall_ctr,0.3146627330952423,0.3146627330952423,1080,0,"In all, higher cta_headline_distance is associated with higher overall_ctr (spearman=0.315, n=1080)."
vertical=entertainment,cta_area_relative,overall_ipm,-0.31452392722409156,0.31452392722409156,180,0,"In vertical=entertainment, higher cta_area_relative is associated with lower overall_ipm (spearman=-0.315, n=180)."
vertical=fintech,brand_visibility_meta,overall_roas,0.3112369287654196,0.3112369287654196,180,0,"In vertical=fintech, higher brand_visibility_meta is associated with higher overall_roas (spearman=0.311, n=180)."
all,image_aspect_ratio,ctr_decay_pct,0.3103907909687687,0.3103907909687687,1080,0,"In all, higher image_aspect_ratio is associated with higher ctr_decay_pct (spearman=0.310, n=1080)."
vertical=gaming,image_aspect_ratio,perf_score,-0.308300314689116,0.308300314689116,180,0,"In vertical=gaming, higher image_aspect_ratio is associated with lower perf_score (spearman=-0.308, n=180)."
vertical=entertainment,headline_y_relative,overall_ipm,-0.30783042265654753,0.30783042265654753,180,0,"In vertical=entertainment, higher headline_y_relative is associated with lower overall_ipm (spearman=-0.308, n=180)."
vertical=entertainment,cta_headline_distance,overall_ctr,0.3077480170690259,0.3077480170690259,180,0,"In vertical=entertainment, higher cta_headline_distance is associated with higher overall_ctr (spearman=0.308, n=180)."
vertical=ecommerce,logo_in_top_left,overall_cvr,-0.3047093947800617,0.3047093947800617,180,0,"In vertical=ecommerce, higher logo_in_top_left is associated with lower overall_cvr (spearman=-0.305, n=180)."
all,headline_y_relative,overall_ctr,-0.3043234065851078,0.3043234065851078,1080,0,"In all, higher headline_y_relative is associated with lower overall_ctr (spearman=-0.304, n=1080)."
vertical=entertainment,cta_headline_distance,overall_ipm,0.3042563432702677,0.3042563432702677,180,0,"In vertical=entertainment, higher cta_headline_distance is associated with higher overall_ipm (spearman=0.304, n=180)."
all,cta_headline_distance,overall_ipm,0.3039375500454222,0.3039375500454222,1080,0,"In all, higher cta_headline_distance is associated with higher overall_ipm (spearman=0.304, n=1080)."
vertical=ecommerce,image_aspect_ratio,overall_ipm,-0.3032712876840887,0.3032712876840887,180,0,"In vertical=ecommerce, higher image_aspect_ratio is associated with lower overall_ipm (spearman=-0.303, n=180)."
vertical=food_delivery,ocr_element_count,overall_cvr,0.30192829041235464,0.30192829041235464,180,0,"In vertical=food_delivery, higher ocr_element_count is associated with higher overall_cvr (spearman=0.302, n=180)."
vertical=food_delivery,has_price_text,overall_cvr,0.3008688406043543,0.3008688406043543,180,0,"In vertical=food_delivery, higher has_price_text is associated with higher overall_cvr (spearman=0.301, n=180)."
vertical=travel,ocr_element_count,overall_cvr,0.30000673980850895,0.30000673980850895,180,0,"In vertical=travel, higher ocr_element_count is associated with higher overall_cvr (spearman=0.300, n=180)."
vertical=ecommerce,has_price_text,overall_cvr,0.2996990343471898,0.2996990343471898,180,0,"In vertical=ecommerce, higher has_price_text is associated with higher overall_cvr (spearman=0.300, n=180)."
vertical=food_delivery,text_area_total_rel,overall_roas,0.2987828842453985,0.2987828842453985,180,0,"In vertical=food_delivery, higher text_area_total_rel is associated with higher overall_roas (spearman=0.299, n=180)."
all,headline_y_relative,overall_ipm,-0.2971261244367737,0.2971261244367737,1080,0,"In all, higher headline_y_relative is associated with lower overall_ipm (spearman=-0.297, n=1080)."
vertical=entertainment,cta_area_relative,ctr_decay_pct,0.29611811219212025,0.29611811219212025,180,0,"In vertical=entertainment, higher cta_area_relative is associated with higher ctr_decay_pct (spearman=0.296, n=180)."
all,brand_visibility_meta,overall_roas,0.29536219336796843,0.29536219336796843,1080,0,"In all, higher brand_visibility_meta is associated with higher overall_roas (spearman=0.295, n=1080)."
vertical=fintech,cta_y_relative,overall_cvr,0.2930426069717749,0.2930426069717749,180,0,"In vertical=fintech, higher cta_y_relative is associated with higher overall_cvr (spearman=0.293, n=180)."
vertical=entertainment,cta_x_relative,overall_ctr,0.2913810331122563,0.2913810331122563,180,0,"In vertical=entertainment, higher cta_x_relative is associated with higher overall_ctr (spearman=0.291, n=180)."
all,subhead_y_relative,overall_ctr,-0.2904514407725452,0.2904514407725452,1080,0,"In all, higher subhead_y_relative is associated with lower overall_ctr (spearman=-0.290, n=1080)."
vertical=gaming,avg_text_area_rel,perf_score,0.29038685015365767,0.29038685015365767,180,0,"In vertical=gaming, higher avg_text_area_rel is associated with higher perf_score (spearman=0.290, n=180)."
vertical=food_delivery,logo_in_top_left,overall_cvr,-0.29030121305940115,0.29030121305940115,180,0,"In vertical=food_delivery, higher logo_in_top_left is associated with lower overall_cvr (spearman=-0.290, n=180)."
all,avg_text_area_rel,overall_ipm,0.2899288186449844,0.2899288186449844,1080,0,"In all, higher avg_text_area_rel is associated with higher overall_ipm (spearman=0.290, n=1080)."
vertical=fintech,avg_text_area_rel,overall_roas,0.2896829581587048,0.2896829581587048,180,0,"In vertical=fintech, higher avg_text_area_rel is associated with higher overall_roas (spearman=0.290, n=180)."
vertical=fintech,headline_y_relative,overall_roas,0.2840814866021667,0.2840814866021667,180,0,"In vertical=fintech, higher headline_y_relative is associated with higher overall_roas (spearman=0.284, n=180)."
vertical=fintech,avg_text_area_rel,perf_score,0.28238185776801566,0.28238185776801566,180,0,"In vertical=fintech, higher avg_text_area_rel is associated with higher perf_score (spearman=0.282, n=180)."
vertical=entertainment,cta_x_relative,overall_ipm,0.2823451476483375,0.2823451476483375,180,0,"In vertical=entertainment, higher cta_x_relative is associated with higher overall_ipm (spearman=0.282, n=180)."
vertical=gaming,text_area_total_rel,perf_score,0.2820038365589495,0.2820038365589495,180,0,"In vertical=gaming, higher text_area_total_rel is associated with higher perf_score (spearman=0.282, n=180)."
vertical=fintech,image_aspect_ratio,overall_ctr,-0.28160242796161045,0.28160242796161045,180,0,"In vertical=fintech, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.282, n=180)."
vertical=food_delivery,subhead_y_relative,ctr_decay_pct,0.2813116489374401,0.2813116489374401,180,0,"In vertical=food_delivery, higher subhead_y_relative is associated with higher ctr_decay_pct (spearman=0.281, n=180)."
vertical=entertainment,avg_text_area_rel,overall_cvr,0.27934607035196557,0.27934607035196557,180,0,"In vertical=entertainment, higher avg_text_area_rel is associated with higher overall_cvr (spearman=0.279, n=180)."
vertical=gaming,avg_text_area_rel,overall_ctr,0.27861147977818246,0.27861147977818246,180,0,"In vertical=gaming, higher avg_text_area_rel is associated with higher overall_ctr (spearman=0.279, n=180)."
vertical=food_delivery,logo_in_top_left,ctr_decay_pct,0.27843765715178365,0.27843765715178365,180,0,"In vertical=food_delivery, higher logo_in_top_left is associated with higher ctr_decay_pct (spearman=0.278, n=180)."
vertical=travel,bottom_zone_element_count,overall_cvr,0.27821733504558266,0.27821733504558266,180,0,"In vertical=travel, higher bottom_zone_element_count is associated with higher overall_cvr (spearman=0.278, n=180)."
vertical=food_delivery,cta_headline_distance,ctr_decay_pct,-0.27780531232178224,0.27780531232178224,180,0,"In vertical=food_delivery, higher cta_headline_distance is associated with lower ctr_decay_pct (spearman=-0.278, n=180)."
vertical=fintech,cta_headline_distance,overall_ctr,0.2769297764174281,0.2769297764174281,180,0,"In vertical=fintech, higher cta_headline_distance is associated with higher overall_ctr (spearman=0.277, n=180)."
vertical=entertainment,cta_y_relative,overall_ctr,-0.2766641812419818,0.2766641812419818,180,0,"In vertical=entertainment, higher cta_y_relative is associated with lower overall_ctr (spearman=-0.277, n=180)."
vertical=fintech,avg_text_area_rel,overall_ipm,0.27561873083469746,0.27561873083469746,180,0,"In vertical=fintech, higher avg_text_area_rel is associated with higher overall_ipm (spearman=0.276, n=180)."
all,cta_headline_distance,ctr_decay_pct,-0.27510970172855775,0.27510970172855775,1080,0,"In all, higher cta_headline_distance is associated with lower ctr_decay_pct (spearman=-0.275, n=1080)."
all,has_price_text,overall_ipm,-0.2748354710348494,0.2748354710348494,1080,0,"In all, higher has_price_text is associated with lower overall_ipm (spearman=-0.275, n=1080)."
vertical=food_delivery,image_aspect_ratio,overall_roas,0.2721603901835214,0.2721603901835214,180,0,"In vertical=food_delivery, higher image_aspect_ratio is associated with higher overall_roas (spearman=0.272, n=180)."
vertical=entertainment,headline_area_relative,overall_ctr,-0.27204468992789554,0.27204468992789554,180,0,"In vertical=entertainment, higher headline_area_relative is associated with lower overall_ctr (spearman=-0.272, n=180)."
vertical=travel,cta_area_relative,overall_ipm,-0.2716724385261268,0.2716724385261268,180,0,"In vertical=travel, higher cta_area_relative is associated with lower overall_ipm (spearman=-0.272, n=180)."
all,has_discount_badge_meta,overall_cvr,-0.27103878596865305,0.27103878596865305,1080,0,"In all, higher has_discount_badge_meta is associated with lower overall_cvr (spearman=-0.271, n=1080)."
vertical=travel,logo_in_top_left,overall_cvr,-0.27069559982037095,0.27069559982037095,180,0,"In vertical=travel, higher logo_in_top_left is associated with lower overall_cvr (spearman=-0.271, n=180)."
all,subhead_y_relative,ctr_decay_pct,0.26968723031426284,0.26968723031426284,1080,0,"In all, higher subhead_y_relative is associated with higher ctr_decay_pct (spearman=0.270, n=1080)."
vertical=ecommerce,headline_area_relative,overall_ipm,-0.2690463701463261,0.2690463701463261,180,0,"In vertical=ecommerce, higher headline_area_relative is associated with lower overall_ipm (spearman=-0.269, n=180)."
all,bottom_zone_element_count,overall_roas,0.2684989470549999,0.2684989470549999,1080,0,"In all, higher bottom_zone_element_count is associated with higher overall_roas (spearman=0.268, n=1080)."
vertical=ecommerce,cta_x_relative,overall_ctr,0.2674209444944573,0.2674209444944573,180,0,"In vertical=ecommerce, higher cta_x_relative is associated with higher overall_ctr (spearman=0.267, n=180)."
vertical=food_delivery,image_aspect_ratio,ctr_decay_pct,0.26686874658366044,0.26686874658366044,180,0,"In vertical=food_delivery, higher image_aspect_ratio is associated with higher ctr_decay_pct (spearman=0.267, n=180)."
vertical=food_delivery,top_zone_element_count,overall_cvr,0.26685894243340547,0.26685894243340547,180,0,"In vertical=food_delivery, higher top_zone_element_count is associated with higher overall_cvr (spearman=0.267, n=180)."
all,cta_area_relative,overall_ipm,-0.2660444699848159,0.2660444699848159,1080,0,"In all, higher cta_area_relative is associated with lower overall_ipm (spearman=-0.266, n=1080)."
vertical=fintech,cta_area_relative,overall_roas,0.2660047090833406,0.2660047090833406,180,0,"In vertical=fintech, higher cta_area_relative is associated with higher overall_roas (spearman=0.266, n=180)."
vertical=food_delivery,cta_y_relative,overall_roas,0.26368521960319286,0.26368521960319286,180,0,"In vertical=food_delivery, higher cta_y_relative is associated with higher overall_roas (spearman=0.264, n=180)."
vertical=gaming,text_area_total_rel,overall_ctr,0.26360690144757554,0.26360690144757554,180,0,"In vertical=gaming, higher text_area_total_rel is associated with higher overall_ctr (spearman=0.264, n=180)."
vertical=travel,cta_x_relative,overall_ctr,0.26223540010744484,0.26223540010744484,180,0,"In vertical=travel, higher cta_x_relative is associated with higher overall_ctr (spearman=0.262, n=180)."
vertical=travel,cta_x_relative,overall_ipm,0.2621241349891467,0.2621241349891467,180,0,"In vertical=travel, higher cta_x_relative is associated with higher overall_ipm (spearman=0.262, n=180)."
vertical=ecommerce,ocr_element_count,overall_cvr,0.2613698657804852,0.2613698657804852,180,0,"In vertical=ecommerce, higher ocr_element_count is associated with higher overall_cvr (spearman=0.261, n=180)."
all,headline_area_relative,overall_ctr,-0.2613594742852763,0.2613594742852763,1080,0,"In all, higher headline_area_relative is associated with lower overall_ctr (spearman=-0.261, n=1080)."
vertical=fintech,image_aspect_ratio,overall_roas,0.2612930174454097,0.2612930174454097,180,0,"In vertical=fintech, higher image_aspect_ratio is associated with higher overall_roas (spearman=0.261, n=180)."
vertical=travel,text_area_total_rel,overall_roas,0.2595615091000751,0.2595615091000751,180,0,"In vertical=travel, higher text_area_total_rel is associated with higher overall_roas (spearman=0.260, n=180)."
vertical=ecommerce,logo_in_top_left,overall_roas,-0.25921296906634655,0.25921296906634655,180,0,"In vertical=ecommerce, higher logo_in_top_left is associated with lower overall_roas (spearman=-0.259, n=180)."
vertical=entertainment,headline_area_relative,overall_ipm,-0.2586247435510997,0.2586247435510997,180,0,"In vertical=entertainment, higher headline_area_relative is associated with lower overall_ipm (spearman=-0.259, n=180)."
all,headline_y_relative,ctr_decay_pct,0.25679064290641196,0.25679064290641196,1080,0,"In all, higher headline_y_relative is associated with higher ctr_decay_pct (spearman=0.257, n=1080)."
vertical=ecommerce,image_aspect_ratio,perf_score,-0.25675425882670927,0.25675425882670927,180,0,"In vertical=ecommerce, higher image_aspect_ratio is associated with lower perf_score (spearman=-0.257, n=180)."
vertical=travel,cta_area_relative,perf_score,-0.2557811722925415,0.2557811722925415,180,0,"In vertical=travel, higher cta_area_relative is associated with lower perf_score (spearman=-0.256, n=180)."
vertical=gaming,logo_in_top_left,overall_ctr,-0.25542371903117145,0.25542371903117145,180,0,"In vertical=gaming, higher logo_in_top_left is associated with lower overall_ctr (spearman=-0.255, n=180)."
vertical=food_delivery,headline_y_relative,ctr_decay_pct,0.2530748700249914,0.2530748700249914,180,0,"In vertical=food_delivery, higher headline_y_relative is associated with higher ctr_decay_pct (spearman=0.253, n=180)."
vertical=fintech,logo_in_top_left,overall_roas,-0.25236287871112834,0.25236287871112834,180,0,"In vertical=fintech, higher logo_in_top_left is associated with lower overall_roas (spearman=-0.252, n=180)."
vertical=travel,has_price_text,overall_roas,0.25129088776795633,0.25129088776795633,180,0,"In vertical=travel, higher has_price_text is associated with higher overall_roas (spearman=0.251, n=180)."
vertical=travel,has_price_meta,overall_roas,0.25129088776795633,0.25129088776795633,180,0,"In vertical=travel, higher has_price_meta is associated with higher overall_roas (spearman=0.251, n=180)."
vertical=fintech,cta_x_relative,ctr_decay_pct,-0.2512848297365299,0.2512848297365299,180,0,"In vertical=fintech, higher cta_x_relative is associated with lower ctr_decay_pct (spearman=-0.251, n=180)."
all,cta_y_relative,overall_ctr,-0.2502157583326553,0.2502157583326553,1080,0,"In all, higher cta_y_relative is associated with lower overall_ctr (spearman=-0.250, n=1080)."
all,cta_x_relative,overall_ctr,0.2494962255623067,0.2494962255623067,1080,0,"In all, higher cta_x_relative is associated with higher overall_ctr (spearman=0.249, n=1080)."
vertical=gaming,logo_in_top_left,perf_score,-0.24929666499057868,0.24929666499057868,180,0,"In vertical=gaming, higher logo_in_top_left is associated with lower perf_score (spearman=-0.249, n=180)."
vertical=ecommerce,has_discount_badge_meta,ctr_decay_pct,-0.2466182079464023,0.2466182079464023,180,0,"In vertical=ecommerce, higher has_discount_badge_meta is associated with lower ctr_decay_pct (spearman=-0.247, n=180)."
vertical=food_delivery,has_discount_badge_meta,overall_cvr,0.24661395886870233,0.24661395886870233,180,0,"In vertical=food_delivery, higher has_discount_badge_meta is associated with higher overall_cvr (spearman=0.247, n=180)."
vertical=fintech,headline_y_relative,overall_ctr,-0.24596056060673746,0.24596056060673746,180,0,"In vertical=fintech, higher headline_y_relative is associated with lower overall_ctr (spearman=-0.246, n=180)."
vertical=entertainment,logo_in_top_left,overall_cvr,-0.24560142399837806,0.24560142399837806,180,0,"In vertical=entertainment, higher logo_in_top_left is associated with lower overall_cvr (spearman=-0.246, n=180)."
vertical=ecommerce,headline_y_relative,ctr_decay_pct,0.2453405553961428,0.2453405553961428,180,0,"In vertical=ecommerce, higher headline_y_relative is associated with higher ctr_decay_pct (spearman=0.245, n=180)."
vertical=travel,logo_in_top_left,overall_ipm,-0.24372152329506064,0.24372152329506064,180,0,"In vertical=travel, higher logo_in_top_left is associated with lower overall_ipm (spearman=-0.244, n=180)."
vertical=travel,badge_in_top_right,overall_cvr,-0.24188177347580886,0.24188177347580886,180,0,"In vertical=travel, higher badge_in_top_right is associated with lower overall_cvr (spearman=-0.242, n=180)."
vertical=entertainment,cta_y_relative,ctr_decay_pct,0.24185347453342187,0.24185347453342187,180,0,"In vertical=entertainment, higher cta_y_relative is associated with higher ctr_decay_pct (spearman=0.242, n=180)."
