column,layer,dtype,missing_count,unique_count
vis_brightness_mean,fe_vision_handcrafted,float64,0,1078
vis_brightness_std,fe_vision_handcrafted,float64,0,1079
vis_contrast,fe_vision_handcrafted,float64,0,1079
vis_saturation_mean,fe_vision_handcrafted,float64,0,1033
vis_saturation_std,fe_vision_handcrafted,float64,0,1033
vis_hue_mean,fe_vision_handcrafted,float64,0,1032
vis_hue_std,fe_vision_handcrafted,float64,0,1033
vis_dominant_color_r,fe_vision_handcrafted,int64,0,84
vis_dominant_color_g,fe_vision_handcrafted,int64,0,107
vis_dominant_color_b,fe_vision_handcrafted,int64,0,93
vis_dominant_color_h,fe_vision_handcrafted,float64,0,910
vis_dominant_color_s,fe_vision_handcrafted,float64,0,920
vis_dominant_color_v,fe_vision_handcrafted,float64,0,948
vis_colorfulness,fe_vision_handcrafted,float64,0,1033
vis_edge_density,fe_vision_handcrafted,float64,0,1005
vis_visual_complexity,fe_vision_handcrafted,float64,0,1079
vis_sharpness_laplacian_var,fe_vision_handcrafted,float64,0,1079
vis_centroid_x_visual_mass,fe_vision_handcrafted,float64,0,1079
vis_centroid_y_visual_mass,fe_vision_handcrafted,float64,0,1079
vis_visual_mass_top_ratio,fe_vision_handcrafted,float64,0,1078
vis_visual_mass_bottom_ratio,fe_vision_handcrafted,float64,0,1079
vis_visual_mass_left_ratio,fe_vision_handcrafted,float64,0,1078
vis_visual_mass_right_ratio,fe_vision_handcrafted,float64,0,1079
vis_visual_mass_center_ratio,fe_vision_handcrafted,float64,0,1078
vis_visual_mass_border_ratio,fe_vision_handcrafted,float64,0,1078
vis_quadrant_top_left_density,fe_vision_handcrafted,float64,0,1079
vis_quadrant_top_right_density,fe_vision_handcrafted,float64,0,1079
vis_quadrant_bottom_left_density,fe_vision_handcrafted,float64,0,1078
vis_quadrant_bottom_right_density,fe_vision_handcrafted,float64,0,1079
vis_symmetry_horizontal_score,fe_vision_handcrafted,float64,0,1079
vis_symmetry_vertical_score,fe_vision_handcrafted,float64,0,1079
vis_main_object_bbox_x_min,fe_vision_handcrafted,float64,0,17
vis_main_object_bbox_y_min,fe_vision_handcrafted,float64,0,21
vis_main_object_bbox_x_max,fe_vision_handcrafted,float64,0,47
vis_main_object_bbox_y_max,fe_vision_handcrafted,float64,0,28
vis_main_object_bbox_area_ratio,fe_vision_handcrafted,float64,0,68
vis_main_object_center_x,fe_vision_handcrafted,float64,0,46
vis_main_object_center_y,fe_vision_handcrafted,float64,0,36
vis_main_object_is_centered,fe_vision_handcrafted,int64,0,2
vis_saliency_center_bias,fe_vision_handcrafted,float64,0,1078
vis_background_uniformity_score,fe_vision_handcrafted,float64,0,1079
vis_empty_space_ratio,fe_vision_handcrafted,float64,0,1022
clip_pca_0,fe_vision_clip_pca,float32,0,1056
clip_pca_1,fe_vision_clip_pca,float32,0,1056
clip_pca_2,fe_vision_clip_pca,float32,0,1059
clip_pca_3,fe_vision_clip_pca,float32,0,1058
clip_pca_4,fe_vision_clip_pca,float32,0,1059
clip_pca_5,fe_vision_clip_pca,float32,0,1057
clip_pca_6,fe_vision_clip_pca,float32,0,1059
clip_pca_7,fe_vision_clip_pca,float32,0,1061
clip_pca_8,fe_vision_clip_pca,float32,0,1059
clip_pca_9,fe_vision_clip_pca,float32,0,1058
clip_pca_10,fe_vision_clip_pca,float32,0,1058
clip_pca_11,fe_vision_clip_pca,float32,0,1059
clip_pca_12,fe_vision_clip_pca,float32,0,1060
clip_pca_13,fe_vision_clip_pca,float32,0,1060
clip_pca_14,fe_vision_clip_pca,float32,0,1059
clip_pca_15,fe_vision_clip_pca,float32,0,1059
clip_pca_16,fe_vision_clip_pca,float32,0,1062
clip_pca_17,fe_vision_clip_pca,float32,0,1060
clip_pca_18,fe_vision_clip_pca,float32,0,1062
clip_pca_19,fe_vision_clip_pca,float32,0,1061
clip_pca_20,fe_vision_clip_pca,float32,0,1059
clip_pca_21,fe_vision_clip_pca,float32,0,1060
clip_pca_22,fe_vision_clip_pca,float32,0,1061
clip_pca_23,fe_vision_clip_pca,float32,0,1060
clip_pca_24,fe_vision_clip_pca,float32,0,1060
clip_pca_25,fe_vision_clip_pca,float32,0,1062
clip_pca_26,fe_vision_clip_pca,float32,0,1062
clip_pca_27,fe_vision_clip_pca,float32,0,1061
clip_pca_28,fe_vision_clip_pca,float32,0,1062
clip_pca_29,fe_vision_clip_pca,float32,0,1060
clip_pca_30,fe_vision_clip_pca,float32,0,1062
clip_pca_31,fe_vision_clip_pca,float32,0,1062
clip_pca_32,fe_vision_clip_pca,float32,0,1063
clip_pca_33,fe_vision_clip_pca,float32,0,1063
clip_pca_34,fe_vision_clip_pca,float32,0,1062
clip_pca_35,fe_vision_clip_pca,float32,0,1062
clip_pca_36,fe_vision_clip_pca,float32,0,1062
clip_pca_37,fe_vision_clip_pca,float32,0,1061
clip_pca_38,fe_vision_clip_pca,float32,0,1059
clip_pca_39,fe_vision_clip_pca,float32,0,1062
clip_pca_40,fe_vision_clip_pca,float32,0,1064
clip_pca_41,fe_vision_clip_pca,float32,0,1063
clip_pca_42,fe_vision_clip_pca,float32,0,1064
clip_pca_43,fe_vision_clip_pca,float32,0,1064
clip_pca_44,fe_vision_clip_pca,float32,0,1065
clip_pca_45,fe_vision_clip_pca,float32,0,1065
clip_pca_46,fe_vision_clip_pca,float32,0,1064
clip_pca_47,fe_vision_clip_pca,float32,0,1065
clip_pca_48,fe_vision_clip_pca,float32,0,1064
clip_pca_49,fe_vision_clip_pca,float32,0,1065
clip_pca_50,fe_vision_clip_pca,float32,0,1065
clip_pca_51,fe_vision_clip_pca,float32,0,1065
clip_pca_52,fe_vision_clip_pca,float32,0,1065
clip_pca_53,fe_vision_clip_pca,float32,0,1065
clip_pca_54,fe_vision_clip_pca,float32,0,1065
clip_pca_55,fe_vision_clip_pca,float32,0,1065
clip_pca_56,fe_vision_clip_pca,float32,0,1065
clip_pca_57,fe_vision_clip_pca,float32,0,1065
clip_pca_58,fe_vision_clip_pca,float32,0,1065
clip_pca_59,fe_vision_clip_pca,float32,0,1065
clip_pca_60,fe_vision_clip_pca,float32,0,1064
clip_pca_61,fe_vision_clip_pca,float32,0,1065
clip_pca_62,fe_vision_clip_pca,float32,0,1065
clip_pca_63,fe_vision_clip_pca,float32,0,1065
cnn_pca_0,fe_vision_cnn_pca,float32,0,1079
cnn_pca_1,fe_vision_cnn_pca,float32,0,1079
cnn_pca_2,fe_vision_cnn_pca,float32,0,1079
cnn_pca_3,fe_vision_cnn_pca,float32,0,1079
cnn_pca_4,fe_vision_cnn_pca,float32,0,1079
cnn_pca_5,fe_vision_cnn_pca,float32,0,1079
cnn_pca_6,fe_vision_cnn_pca,float32,0,1079
cnn_pca_7,fe_vision_cnn_pca,float32,0,1079
cnn_pca_8,fe_vision_cnn_pca,float32,0,1079
cnn_pca_9,fe_vision_cnn_pca,float32,0,1079
cnn_pca_10,fe_vision_cnn_pca,float32,0,1079
cnn_pca_11,fe_vision_cnn_pca,float32,0,1079
cnn_pca_12,fe_vision_cnn_pca,float32,0,1079
cnn_pca_13,fe_vision_cnn_pca,float32,0,1080
cnn_pca_14,fe_vision_cnn_pca,float32,0,1080
cnn_pca_15,fe_vision_cnn_pca,float32,0,1080
cnn_pca_16,fe_vision_cnn_pca,float32,0,1080
cnn_pca_17,fe_vision_cnn_pca,float32,0,1080
cnn_pca_18,fe_vision_cnn_pca,float32,0,1080
cnn_pca_19,fe_vision_cnn_pca,float32,0,1080
cnn_pca_20,fe_vision_cnn_pca,float32,0,1080
cnn_pca_21,fe_vision_cnn_pca,float32,0,1080
cnn_pca_22,fe_vision_cnn_pca,float32,0,1080
cnn_pca_23,fe_vision_cnn_pca,float32,0,1080
cnn_pca_24,fe_vision_cnn_pca,float32,0,1080
cnn_pca_25,fe_vision_cnn_pca,float32,0,1080
cnn_pca_26,fe_vision_cnn_pca,float32,0,1080
cnn_pca_27,fe_vision_cnn_pca,float32,0,1080
cnn_pca_28,fe_vision_cnn_pca,float32,0,1080
cnn_pca_29,fe_vision_cnn_pca,float32,0,1080
cnn_pca_30,fe_vision_cnn_pca,float32,0,1080
cnn_pca_31,fe_vision_cnn_pca,float32,0,1080
cnn_pca_32,fe_vision_cnn_pca,float32,0,1080
cnn_pca_33,fe_vision_cnn_pca,float32,0,1080
cnn_pca_34,fe_vision_cnn_pca,float32,0,1080
cnn_pca_35,fe_vision_cnn_pca,float32,0,1080
cnn_pca_36,fe_vision_cnn_pca,float32,0,1080
cnn_pca_37,fe_vision_cnn_pca,float32,0,1080
cnn_pca_38,fe_vision_cnn_pca,float32,0,1080
cnn_pca_39,fe_vision_cnn_pca,float32,0,1080
cnn_pca_40,fe_vision_cnn_pca,float32,0,1080
cnn_pca_41,fe_vision_cnn_pca,float32,0,1080
cnn_pca_42,fe_vision_cnn_pca,float32,0,1080
cnn_pca_43,fe_vision_cnn_pca,float32,0,1080
cnn_pca_44,fe_vision_cnn_pca,float32,0,1080
cnn_pca_45,fe_vision_cnn_pca,float32,0,1080
cnn_pca_46,fe_vision_cnn_pca,float32,0,1079
cnn_pca_47,fe_vision_cnn_pca,float32,0,1080
cnn_pca_48,fe_vision_cnn_pca,float32,0,1080
cnn_pca_49,fe_vision_cnn_pca,float32,0,1080
cnn_pca_50,fe_vision_cnn_pca,float32,0,1080
cnn_pca_51,fe_vision_cnn_pca,float32,0,1080
cnn_pca_52,fe_vision_cnn_pca,float32,0,1080
cnn_pca_53,fe_vision_cnn_pca,float32,0,1080
cnn_pca_54,fe_vision_cnn_pca,float32,0,1080
cnn_pca_55,fe_vision_cnn_pca,float32,0,1080
cnn_pca_56,fe_vision_cnn_pca,float32,0,1080
cnn_pca_57,fe_vision_cnn_pca,float32,0,1080
cnn_pca_58,fe_vision_cnn_pca,float32,0,1080
cnn_pca_59,fe_vision_cnn_pca,float32,0,1080
cnn_pca_60,fe_vision_cnn_pca,float32,0,1080
cnn_pca_61,fe_vision_cnn_pca,float32,0,1080
cnn_pca_62,fe_vision_cnn_pca,float32,0,1080
cnn_pca_63,fe_vision_cnn_pca,float32,0,1080
image_quality_status,fe_vision_image_quality,str,0,1
image_quality_reason,fe_vision_image_quality,float64,1080,1
image_quality_width,fe_vision_image_quality,int64,0,2
image_quality_height,fe_vision_image_quality,int64,0,3
cv_source_mode,cv_spatial_flat,str,0,1
cv_extraction_error,cv_spatial_flat,object,1080,1
cv_image_width,cv_spatial_flat,int64,0,2
cv_image_height,cv_spatial_flat,int64,0,3
cv_image_aspect_ratio,cv_spatial_flat,float64,0,3
cv_ocr_element_count,cv_spatial_flat,int64,0,6
cv_grounded_element_count,cv_spatial_flat,int64,0,10
cv_text_area_total_rel,cv_spatial_flat,float64,0,1079
cv_avg_text_area_rel,cv_spatial_flat,float64,0,1079
cv_top_zone_element_count,cv_spatial_flat,int64,0,3
cv_middle_zone_element_count,cv_spatial_flat,int64,0,2
cv_bottom_zone_element_count,cv_spatial_flat,int64,0,5
cv_bottom_text_ratio,cv_spatial_flat,float64,0,10
cv_cta_found,cv_spatial_flat,int64,0,1
cv_cta_y_relative,cv_spatial_flat,float64,0,37
cv_cta_x_relative,cv_spatial_flat,float64,0,64
cv_cta_area_relative,cv_spatial_flat,float64,0,355
cv_cta_in_bottom_third,cv_spatial_flat,int64,0,1
cv_headline_found,cv_spatial_flat,int64,0,1
cv_headline_y_relative,cv_spatial_flat,float64,0,94
cv_headline_area_relative,cv_spatial_flat,float64,0,537
cv_subhead_found,cv_spatial_flat,int64,0,1
cv_subhead_y_relative,cv_spatial_flat,float64,68,100
cv_cta_headline_distance,cv_spatial_flat,float64,0,242
cv_has_promo_text,cv_spatial_flat,int64,0,2
cv_has_discount_text,cv_spatial_flat,int64,0,2
cv_has_price_text,cv_spatial_flat,int64,0,2
cv_has_promo_badge,cv_spatial_flat,int64,0,1
cv_badge_in_top_right,cv_spatial_flat,int64,0,2
cv_badge_y_relative,cv_spatial_flat,float64,0,203
cv_logo_detected,cv_spatial_flat,int64,0,1
cv_logo_in_top_left,cv_spatial_flat,int64,0,2
cv_product_zone_coverage,cv_spatial_flat,float64,0,5
cv_text_density_meta,cv_spatial_flat,float64,0,548
cv_brand_visibility_meta,cv_spatial_flat,float64,0,517
cv_has_discount_badge_meta,cv_spatial_flat,int64,0,2
cv_has_price_meta,cv_spatial_flat,int64,0,2
cv_spatial_signal_score,cv_spatial_flat,float64,0,1
prompt_image_width,cv_prompt_flat,int64,0,2
prompt_image_height,cv_prompt_flat,int64,0,3
prompt_image_aspect_ratio,cv_prompt_flat,float64,0,3
prompt_text_element_count,cv_prompt_flat,int64,0,6
prompt_text_total_area,cv_prompt_flat,float64,0,1072
prompt_detected_brand_logo,cv_prompt_flat,int64,0,1
prompt_detected_primary_cta,cv_prompt_flat,int64,0,1
prompt_detected_promo_badge,cv_prompt_flat,int64,0,1
prompt_detected_product_area,cv_prompt_flat,int64,0,2
prompt_detected_social_proof,cv_prompt_flat,int64,0,2
prompt_visual_element_count,cv_prompt_flat,int64,0,7
prompt_visual_card_count,cv_prompt_flat,int64,0,5
prompt_visual_circle_count,cv_prompt_flat,int64,0,5
prompt_visual_total_area,cv_prompt_flat,float64,0,119
prompt_visual_grid_like,cv_prompt_flat,int64,0,2
prompt_visual_center_y,cv_prompt_flat,float64,11,75
prompt_dominant_color_name,cv_prompt_flat,str,0,11
prompt_dominant_color_hex,cv_prompt_flat,str,0,233
prompt_dominant_color_proportion,cv_prompt_flat,float64,0,683
prompt_background_color_name,cv_prompt_flat,str,0,11
prompt_background_color_hex,cv_prompt_flat,str,0,111
prompt_background_is_solid,cv_prompt_flat,int64,0,1
prompt_saturation_mean,cv_prompt_flat,float64,0,761
prompt_brightness_mean,cv_prompt_flat,float64,0,633
prompt_color_warmth,cv_prompt_flat,float64,0,236
prompt_contrast_score,cv_prompt_flat,float64,0,862
prompt_layout_template,cv_prompt_flat,str,0,11
prompt_has_grid_layout,cv_prompt_flat,int64,0,2
prompt_has_carousel_indicator,cv_prompt_flat,int64,0,1
prompt_brand_zone_ratio,cv_prompt_flat,float64,0,696
prompt_showcase_zone_ratio,cv_prompt_flat,float64,0,614
prompt_copy_zone_ratio,cv_prompt_flat,float64,0,679
prompt_cta_zone_ratio,cv_prompt_flat,float64,0,629
prompt_total_text_area_ratio,cv_prompt_flat,float64,0,1070
prompt_headline_area_ratio,cv_prompt_flat,float64,0,277
prompt_headline_is_large,cv_prompt_flat,int64,0,2
prompt_vertical_center_of_mass,cv_prompt_flat,float64,0,821
prompt_background_edge_density,cv_prompt_flat,float64,0,1050
prompt_has_decorative_pattern,cv_prompt_flat,int64,0,2
prompt_cta_y_relative,cv_prompt_flat,float64,0,23
prompt_cta_x_relative,cv_prompt_flat,float64,0,16
prompt_cta_in_bottom_third,cv_prompt_flat,int64,0,1
prompt_badge_in_top_right,cv_prompt_flat,int64,0,2
prompt_logo_in_top_left,cv_prompt_flat,int64,0,2
prompt_product_zone_coverage,cv_prompt_flat,float64,0,9
prompt_text_to_visual_ratio,cv_prompt_flat,float64,0,1079
prompt_layout_pattern_type,cv_prompt_flat,str,0,3
prompt_layout_pattern_confidence,cv_prompt_flat,float64,0,8
prompt_thumb_zone_cta,cv_prompt_flat,float64,0,23
prompt_visual_hierarchy_score,cv_prompt_flat,float64,0,48
prompt_badge_visibility_score,cv_prompt_flat,float64,0,3
prompt_brand_clarity_score,cv_prompt_flat,float64,0,417
prompt_whitespace_balance,cv_prompt_flat,float64,0,991
